size,distance,Time.deltaTime,,"IV1
(1=0.05,  2=0.1,  3=0.2)","IV2
(1 = 3, 2 = 6, 3 = 9, 4 = 12)",DV
0.1,9,0.0105948,,2,3,
0.05,6,0.0081787,,1,2,
0.1,12,0.0104575,,2,4,
0.1,6,0.0125844,,2,2,
0.2,6,0.0101821,,3,2,
0.1,3,0.0074457,,2,1,
0.05,12,0.0116971,,1,4,
0.2,12,0.0075003,,3,4,
0.05,3,0.0141688,,1,1,
0.05,12,0.0196214,,1,4,
0.05,6,0.0097244,,1,2,
0.1,3,0.010718,,2,1,
0.2,3,0.0089028,,3,1,
0.2,9,0.0109674,,3,3,
0.05,3,0.0115457,,1,1,
0.2,12,0.0093362,,3,4,
0.05,9,0.0088135,,1,3,
0.1,12,0.0091171,,2,4,
0.2,6,0.0073757,,3,2,
0.1,9,0.0125943,,2,3,
0.1,6,0.0073879,,2,2,
0.05,6,0.0195397,,1,2,
0.05,12,0.0123826,,1,4,
0.2,6,0.0092796,,3,2,
0.2,3,0.0105044,,3,1,
0.1,3,0.0101345,,2,1,
0.05,3,0.0105311,,1,1,
0.2,12,0.0084185,,3,4,
0.05,9,0.0089202,,1,3,
0.1,6,0.0152738,,2,2,
0.1,9,0.0097096,,2,3,
0.2,9,0.0093877,,3,3,
0.1,12,0.0104306,,2,4,
0.1,12,0.0161136,,2,4,
0.05,3,0.0098379,,1,1,
0.05,9,0.0100725,,1,3,
0.1,3,0.0077896,,2,1,
0.1,6,0.0107462,,2,2,
0.05,12,0.0095365,,1,4,
0.05,6,0.0092031,,1,2,
0.2,3,0.0116103,,3,1,
0.1,9,0.0140959,,2,3,
0.2,6,0.0091099,,3,2,
0.2,9,0.0115636,,3,3,
0.2,12,0.0091751,,3,4,
0.05,9,0.0198259,,1,3,
0.1,9,0.0086528,,2,3,
0.2,12,0.0106587,,3,4,
0.2,3,0.0101926,,3,1,
0.1,3,0.00933,,2,1,
0.05,3,0.0102916,,1,1,
0.05,6,0.0060074,,1,2,
0.2,9,0.0114872,,3,3,
0.2,6,0.0092345,,3,2,
0.1,6,0.0098112,,2,2,
0.1,12,0.0094076,,2,4,
0.05,12,0.0121689,,1,4,
0.1,6,0.0188322,,2,2,
0.1,3,0.0069728,,2,1,
0.2,3,0.0135819,,3,1,
0.05,3,0.0116143,,1,1,
0.2,6,0.0116942,,3,2,
0.05,9,0.0101165,,1,3,
0.05,12,0.0100819,,1,4,
0.2,12,0.0104315,,3,4,
0.05,6,0.0137247,,1,2,
0.1,12,0.0145714,,2,4,
0.1,9,0.0092542,,2,3,
0.2,9,0.0116898,,3,3,
0.1,12,0.0185817,,2,4,
0.2,12,0.0066352,,3,4,
0.05,3,0.0104251,,1,1,
0.2,9,0.0097713,,3,3,
0.2,6,0.0115633,,3,2,
0.05,6,0.0097495,,1,2,
0.05,12,0.0102762,,1,4,
0.1,9,0.0099439,,2,3,
0.05,9,0.0092726,,1,3,
0.2,3,0.0082194,,3,1,
0.1,6,0.0108858,,2,2,
0.1,3,0.0103899,,2,1,
0.1,3,0.0160703,,2,1,
0.1,9,0.0103555,,2,3,
0.05,3,0.0059192,,1,1,
0.05,9,0.0102643,,1,3,
0.2,9,0.0107044,,3,3,
0.05,12,0.0100747,,1,4,
0.1,12,0.0096323,,2,4,
0.2,3,0.0095078,,3,1,
0.1,6,0.0102561,,2,2,
0.05,6,0.011768,,1,2,
0.2,12,0.0115931,,3,4,
0.2,6,0.0092865,,3,2,
