IV1,IV2,DV,timeStamp,,,,,,,,,
45,150,0.0119871,2020-09-24 AM 1:13:26,,,,,,,,,
15,300,0.0107656,2020-09-24 AM 1:13:26,,,,,,,,,
30,300,0.011862,2020-09-24 AM 1:13:26,,,,,,,,,
15,150,0.0108171,2020-09-24 AM 1:13:26,,,,,,,,,
15,300,0.0201376,2020-09-24 AM 1:13:44,,,,,,,,,
45,600,0.0134023,2020-09-24 AM 1:13:44,,,,,,,,,
15,450,0.0109895,2020-09-24 AM 1:13:44,,,,,,,,,
45,300,0.0090536,2020-09-24 AM 1:13:44,,,,,,,,,
15,600,0.0166182,2020-09-24 AM 1:13:44,,,,,,,,,
30,300,0.0120963,2020-09-24 AM 1:13:44,,,,,,,,,
30,150,0.0095892,2020-09-24 AM 1:13:44,,,,,,,,,
30,600,0.0112138,2020-09-24 AM 1:13:44,,,,,,,,,
15,150,0.0099628,2020-09-24 AM 1:13:44,,,,,,,,,
30,450,0.01009,2020-09-24 AM 1:13:44,,,,,,,,,
45,150,0.0123769,2020-09-24 AM 1:13:44,,,,,,,,,
45,450,0.0103156,2020-09-24 AM 1:13:44,,,,,,,,,
15,450,0.0210395,2020-09-24 AM 1:14:01,,,,,,,,,
30,300,0.0100622,2020-09-24 AM 1:14:01,,,,,,,,,
30,600,0.0104543,2020-09-24 AM 1:14:01,,,,,,,,,
45,450,0.0094651,2020-09-24 AM 1:14:01,,,,,,,,,
15,600,0.0102611,2020-09-24 AM 1:14:01,,,,,,,,,
45,150,0.009539,2020-09-24 AM 1:14:01,,,,,,,,,
15,300,0.0122336,2020-09-24 AM 1:14:01,,,,,,,,,
15,150,0.0103839,2020-09-24 AM 1:14:01,,,,,,,,,
45,600,0.012312,2020-09-24 AM 1:14:01,,,,,,,,,
30,150,0.011209,2020-09-24 AM 1:14:01,,,,,,,,,
45,300,0.0108836,2020-09-24 AM 1:14:01,,,,,,,,,
30,450,0.0073778,2020-09-24 AM 1:14:01,,,,,,,,,
15,600,0.0227614,2020-09-24 AM 1:14:36,,,,,,,,,
45,300,0.0102472,2020-09-24 AM 1:14:36,,,,,,,,,
30,600,0.0126973,2020-09-24 AM 1:14:36,,,,,,,,,
45,600,0.0095063,2020-09-24 AM 1:14:36,,,,,,,,,
15,450,0.01135,2020-09-24 AM 1:14:36,,,,,,,,,
30,300,0.0110473,2020-09-24 AM 1:14:36,,,,,,,,,
30,150,0.0114576,2020-09-24 AM 1:14:36,,,,,,,,,
15,300,0.0107107,2020-09-24 AM 1:14:36,,,,,,,,,
45,450,0.0111617,2020-09-24 AM 1:14:36,,,,,,,,,
45,150,0.012401,2020-09-24 AM 1:14:36,,,,,,,,,
15,150,0.0133651,2020-09-24 AM 1:14:36,,,,,,,,,
30,450,0.0127504,2020-09-24 AM 1:14:36,,,,,,,,,
15,450,0.017821,2020-09-24 AM 1:14:52,,,,,,,,,
45,150,0.0089942,2020-09-24 AM 1:14:52,,,,,,,,,
30,450,0.0088365,2020-09-24 AM 1:14:52,,,,,,,,,
15,300,0.0105207,2020-09-24 AM 1:14:52,,,,,,,,,
45,450,0.0100247,2020-09-24 AM 1:14:52,,,,,,,,,
15,600,0.0107811,2020-09-24 AM 1:14:52,,,,,,,,,
15,150,0.0092263,2020-09-24 AM 1:14:52,,,,,,,,,
45,300,0.0081652,2020-09-24 AM 1:14:52,,,,,,,,,
30,600,0.0108709,2020-09-24 AM 1:14:52,,,,,,,,,
30,150,0.0101389,2020-09-24 AM 1:14:52,,,,,,,,,
30,300,0.010286,2020-09-24 AM 1:14:52,,,,,,,,,
45,600,0.0101005,2020-09-24 AM 1:14:52,,,,,,,,,
30,450,0.019423,2020-09-24 AM 1:15:08,,,,,,,,,
30,600,0.0147447,2020-09-24 AM 1:15:08,,,,,,,,,
30,150,0.0103639,2020-09-24 AM 1:15:08,,,,,,,,,
15,600,0.0093243,2020-09-24 AM 1:15:08,,,,,,,,,
45,600,0.0108337,2020-09-24 AM 1:15:08,,,,,,,,,
15,300,0.0099832,2020-09-24 AM 1:15:08,,,,,,,,,
30,300,0.010458,2020-09-24 AM 1:15:08,,,,,,,,,
45,450,0.0096792,2020-09-24 AM 1:15:08,,,,,,,,,
15,150,0.0100634,2020-09-24 AM 1:15:08,,,,,,,,,
45,300,0.0112435,2020-09-24 AM 1:15:08,,,,,,,,,
45,150,0.0097791,2020-09-24 AM 1:15:08,,,,,,,,,
15,450,0.0114403,2020-09-24 AM 1:15:08,,,,,,,,,
45,450,0.0184585,2020-09-24 AM 1:15:25,,,,,,,,,
15,300,0.0114096,2020-09-24 AM 1:15:25,,,,,,,,,
15,150,0.0118538,2020-09-24 AM 1:15:25,,,,,,,,,
45,150,0.0109416,2020-09-24 AM 1:15:25,,,,,,,,,
30,450,0.012131,2020-09-24 AM 1:15:25,,,,,,,,,
15,450,0.0088214,2020-09-24 AM 1:15:25,,,,,,,,,
30,150,0.0100766,2020-09-24 AM 1:15:25,,,,,,,,,
30,300,0.010332,2020-09-24 AM 1:15:25,,,,,,,,,
15,600,0.010692,2020-09-24 AM 1:15:25,,,,,,,,,
45,300,0.0102894,2020-09-24 AM 1:15:25,,,,,,,,,
45,600,0.0122385,2020-09-24 AM 1:15:25,,,,,,,,,
30,600,0.0105458,2020-09-24 AM 1:15:25,,,,,,,,,
30,150,0.0202065,2020-09-24 AM 1:15:43,,,,,,,,,
15,450,0.0100881,2020-09-24 AM 1:15:43,,,,,,,,,
